id;name;street;city;state;country;zip_code;created_at
DAE442AB-2479-6151-AA5C-5792A13D82AD;Elementum Corporation;P.O. Box 264, 9979 Leo. Road;San Francisco;Caquetá;Austria;5524;1660404658
62483F3A-3537-1AC4-13DB-28AE2335CC71;Rutrum Non Hendrerit Institute;P.O. Box 702, 8451 Mauris Avenue;Ilagan;Abruzzo;Ireland;86-518;1653291857
1868D756-B854-2FDC-46D5-DABE6E3866A0;Nonummy Ipsum Foundation;210-9925 Ultrices, Ave;Rochor;Nova Scotia;Indonesia;p3C 4P0;1644945088
8E525E3E-5FA5-DDFB-AF90-8EACDCAA241D;Posuere LLP;6654 Fringilla Road;Oroquieta;FATA;Chile;62237;1674105918
E33E8538-A189-F90A-2059-8DC9D99B16A7;Non Lobortis Inc.;651-2919 Odio Avenue;Minneapolis;Tarapacá;Indonesia;200264;1642365444
5C9E094C-C542-F38D-9127-4A671D630847;Dolor Quisque Inc.;P.O. Box 865, 3174 A St.;Muzzafarabad;Paraíba;Costa Rica;12016;1652694285
EDD86316-74B3-44A8-4D77-2A1536DA0287;Sed Consequat PC;P.O. Box 479, 3554 Ante. Road;Pagadian;Imo;Italy;3567;1677131418
0352B196-D507-96B6-1B7F-81BAAC1523DE;Tempor Est Ac Ltd;Ap #379-8932 Magnis St.;Paya Lebar;Limón;Sweden;314465;1668854593
8A6164C6-81F2-E352-C698-2A8D6D4647FA;Nam Consequat Ltd;Ap #954-7348 In, St.;Choa Chu Kang;Free State;Vietnam;83121;1641727126
E343CAC6-AE5E-EB7F-C4CF-C59D5B890A17;Eget Dictum Corporation;186-9698 Nullam Street;Tual;Schleswig-Holstein;Netherlands;714211;1675964394
